Treatments,Time,G,A,GG,AA,GA/AG,GAG/GGA/AGG,GGG,GGGG,AAG/AGA/GAA,AAA
2-0-0,0,0,0,0,0,0,0,0,0,0,0
2-0-10,0,0,0.01,0,0,0,0,0,0,0,0
2-0-20,0,0,0.02,0,0,0,0,0,0,0,0
2-0-30,0,0,0.03,0,0,0,0,0,0,0,0
2-0-40,0,0,0.04,0,0,0,0,0,0,0,0
2-0-60,0,0,0.06,0,0,0,0,0,0,0,0
2-0-70,0,0,0.07,0,0,0,0,0,0,0,0
2-0-80,0,0,0.08,0,0,0,0,0,0,0,0
2-0-90,0,0,0.09,0,0,0,0,0,0,0,0
2-0-100,0,0,0.1,0,0,0,0,0,0,0,0
2/10/2000,0,0.01,0,0,0,0,0,0,0,0,0
2/10/2010,0,0.01,0.01,0,0,0,0,0,0,0,0
2/10/2020,0,0.01,0.02,0,0,0,0,0,0,0,0
2/10/1930,0,0.01,0.03,0,0,0,0,0,0,0,0
2/10/1940,0,0.01,0.04,0,0,0,0,0,0,0,0
2/10/1950,0,0.01,0.05,0,0,0,0,0,0,0,0
2/10/1960,0,0.01,0.06,0,0,0,0,0,0,0,0
2/10/1970,0,0.01,0.07,0,0,0,0,0,0,0,0
2/10/1980,0,0.01,0.08,0,0,0,0,0,0,0,0
2/10/1990,0,0.01,0.09,0,0,0,0,0,0,0,0
2-10-100,0,0.01,0.1,0,0,0,0,0,0,0,0
2/20/2000,0,0.02,0,0,0,0,0,0,0,0,0
2/20/2010,0,0.02,0.01,0,0,0,0,0,0,0,0
2/20/2020,0,0.02,0.02,0,0,0,0,0,0,0,0
2/20/1930,0,0.02,0.03,0,0,0,0,0,0,0,0
2/20/1940,0,0.02,0.04,0,0,0,0,0,0,0,0
2/20/1950,0,0.02,0.05,0,0,0,0,0,0,0,0
2/20/1960,0,0.02,0.06,0,0,0,0,0,0,0,0
2/20/1970,0,0.02,0.07,0,0,0,0,0,0,0,0
2/20/1980,0,0.02,0.08,0,0,0,0,0,0,0,0
2/20/1990,0,0.02,0.09,0,0,0,0,0,0,0,0
2-20-100,0,0.02,0.1,0,0,0,0,0,0,0,0
2-30-0,0,0.03,0,0,0,0,0,0,0,0,0
2-30-10,0,0.03,0.01,0,0,0,0,0,0,0,0
2-30-20,0,0.03,0.02,0,0,0,0,0,0,0,0
2-30-30,0,0.03,0.03,0,0,0,0,0,0,0,0
2-30-40,0,0.03,0.04,0,0,0,0,0,0,0,0
2-30-50,0,0.03,0.05,0,0,0,0,0,0,0,0
2-30-60,0,0.03,0.06,0,0,0,0,0,0,0,0
2-30-70,0,0.03,0.07,0,0,0,0,0,0,0,0
2-30-80,0,0.03,0.08,0,0,0,0,0,0,0,0
2-30-90,0,0.03,0.09,0,0,0,0,0,0,0,0
2-30-100,0,0.03,0.1,0,0,0,0,0,0,0,0
2-40-0,0,0.04,0,0,0,0,0,0,0,0,0
2-40-10,0,0.04,0.01,0,0,0,0,0,0,0,0
2-40-20,0,0.04,0.02,0,0,0,0,0,0,0,0
2-40-30,0,0.04,0.03,0,0,0,0,0,0,0,0
2-40-40,0,0.04,0.04,0,0,0,0,0,0,0,0
2-40-50,0,0.04,0.05,0,0,0,0,0,0,0,0
2-40-60,0,0.04,0.06,0,0,0,0,0,0,0,0
2-40-70,0,0.04,0.07,0,0,0,0,0,0,0,0
2-40-80,0,0.04,0.08,0,0,0,0,0,0,0,0
2-40-90,0,0.04,0.09,0,0,0,0,0,0,0,0
2-40-100,0,0.04,0.1,0,0,0,0,0,0,0,0
2-50-0,0,0.05,0,0,0,0,0,0,0,0,0
2-50-10,0,0.05,0.01,0,0,0,0,0,0,0,0
2-50-20,0,0.05,0.02,0,0,0,0,0,0,0,0
2-50-30,0,0.05,0.03,0,0,0,0,0,0,0,0
2-50-40,0,0.05,0.04,0,0,0,0,0,0,0,0
2-50-50,0,0.05,0.05,0,0,0,0,0,0,0,0
2-50-60,0,0.05,0.06,0,0,0,0,0,0,0,0
2-50-70,0,0.05,0.07,0,0,0,0,0,0,0,0
2-50-80,0,0.05,0.08,0,0,0,0,0,0,0,0
2-50-90,0,0.05,0.09,0,0,0,0,0,0,0,0
2-50-100,0,0.05,0.1,0,0,0,0,0,0,0,0
2-60-0,0,0.06,0,0,0,0,0,0,0,0,0
2-60-10,0,0.06,0.01,0,0,0,0,0,0,0,0
2-60-20,0,0.06,0.02,0,0,0,0,0,0,0,0
2-60-30,0,0.06,0.03,0,0,0,0,0,0,0,0
2-60-40,0,0.06,0.04,0,0,0,0,0,0,0,0
2-60-50,0,0.06,0.05,0,0,0,0,0,0,0,0
2-60-60,0,0.06,0.06,0,0,0,0,0,0,0,0
2-60-70,0,0.06,0.07,0,0,0,0,0,0,0,0
2-60-80,0,0.06,0.08,0,0,0,0,0,0,0,0
2-60-90,0,0.06,0.09,0,0,0,0,0,0,0,0
2-60-100,0,0.06,0.1,0,0,0,0,0,0,0,0
2-70-0,0,0.07,0,0,0,0,0,0,0,0,0
2-70-10,0,0.07,0.01,0,0,0,0,0,0,0,0
2-70-20,0,0.07,0.02,0,0,0,0,0,0,0,0
2-70-30,0,0.07,0.03,0,0,0,0,0,0,0,0
2-70-40,0,0.07,0.04,0,0,0,0,0,0,0,0
2-70-50,0,0.07,0.05,0,0,0,0,0,0,0,0
2-70-60,0,0.07,0.06,0,0,0,0,0,0,0,0
2-70-70,0,0.07,0.07,0,0,0,0,0,0,0,0
2-70-80,0,0.07,0.08,0,0,0,0,0,0,0,0
2-70-90,0,0.07,0.09,0,0,0,0,0,0,0,0
2-70-100,0,0.07,0.1,0,0,0,0,0,0,0,0
2-80-0,0,0.08,0,0,0,0,0,0,0,0,0
2-80-10,0,0.08,0.01,0,0,0,0,0,0,0,0
2-80-20,0,0.08,0.02,0,0,0,0,0,0,0,0
2-80-30,0,0.08,0.03,0,0,0,0,0,0,0,0
2-80-40,0,0.08,0.04,0,0,0,0,0,0,0,0
2-80-50,0,0.08,0.05,0,0,0,0,0,0,0,0
2-80-60,0,0.08,0.06,0,0,0,0,0,0,0,0
2-80-70,0,0.08,0.07,0,0,0,0,0,0,0,0
2-80-80,0,0.08,0.08,0,0,0,0,0,0,0,0
2-80-90,0,0.08,0.09,0,0,0,0,0,0,0,0
2-80-100,0,0.08,0.1,0,0,0,0,0,0,0,0
2-90-0,0,0.09,0,0,0,0,0,0,0,0,0
2-90-10,0,0.09,0.01,0,0,0,0,0,0,0,0
2-90-20,0,0.09,0.02,0,0,0,0,0,0,0,0
2-90-30,0,0.09,0.03,0,0,0,0,0,0,0,0
2-90-40,0,0.09,0.04,0,0,0,0,0,0,0,0
2-90-50,0,0.09,0.05,0,0,0,0,0,0,0,0
2-90-60,0,0.09,0.06,0,0,0,0,0,0,0,0
