Parameter,Expected value,Std. Dev.
k1,5.630013277476727,0.08415400758367872
k2,3.739134628625172,0.05662625842201308
k3,4.072522901724496,0.07609236336719247
k4,3.2458732192469353,0.06211544254401628
k5,8.248932949367612,0.5337661095877994
k6,5.651555909409636,0.368824265385399
k7,5.7495454038406475,0.8075580158867971
k8,3.163686545559809,0.37665564471713114
k9,4.108666901959826,0.019514465505475566
k10,1.034030741653065,0.005735926513013601
k11,5.898527994215688,0.1794409558211737
k12,1.2684223795623528,0.05000865487643132
k13,4.585495853902764,0.09625857636716738
k14,0.9398085303257135,0.012928739869450067
k15,5.678096933948383,1.8025572146176385
k16,1.9269175168564205,0.8193480342630896
k17,7.45804643137378,1.2194179376263492
k18,1.5537798959668654,0.25758181780054495
k19,4.784126375606609,0.5667015248050419
k20,1.145288393135122,0.14109532270469863
k21,2.051908492588937,0.006263950022627517
k22,1.0237044680793763,0.003052453395688239
